"Country Code","country name","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"CUB","Cuba","24.72001","24.65013","24.51037","24.44049","24.30073","24.23085","24.16097","24.09109","23.93884","23.79908","23.7292","23.65932","23.65932","23.58944","23.51956","23.44968","23.44968","23.3798","23.30992","23.89905","24.24106","24.58306","25.08166","25.42801","25.84713","26.6155","31.49388","32.77576","34.57099","35.47017","34.59319","36.61394","35.94577","36.14903","36.85138","37.25429","40.74976","40.74456","40.96421","41.12982","41.25381","41.42231","32.07748"
"CYM","Cayman Islands","50.50838","50.59765","50.68693","50.7762","50.95475","50.95475","51.04402","51.13329","51.22257","51.22257","51.31184","51.40112","51.49039","51.38515","51.38515","51.47443","51.47443","51.47443","51.5637","51.24798","51.54773","51.65297","51.75821","51.65297","51.54773","51.637","52.45675","52.9486","53.11255","53.44045","53.6044","53.9323","54.09625","54.2602","54.40818","54.4669","54.7948","54.6165","54.60217","54.06541","54.5716","54.46636","54.52507"
"CYP","Cyprus","47.85689","47.85689","47.85689","47.92608","47.92608","47.84452","48.69799","49.11523","49.20634","49.36419","49.21767","46.14638","47.01684","47.74294","47.70554","51.76961","52.10299","52.19389","52.3702","52.93846","53.92199","54.69189","53.72359","53.51788","55.05441","57.12628","58.51978","72.37259","74.00197","74.42219","75.19629","75.83904","75.42186","76.09944","77.81656","77.86121","77.68178","92.10207","91.91521","91.43166","91.19832","89.81855","88.40786"
"CZE","Czech Republic",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","69.53504","71.40289","73.29816","75.57727","78.40532","78.60664","78.73735","78.91866","79.78023","80.23354","80.75029","80.50353","81.26022","81.76819","82.05991","83.13565","82.33495","82.28516","82.02761","81.90259"
"DEU","Germany","43.94139","53.03538","53.071","53.11047","65.95274","66.30559","66.44003","67.20979","67.70512","66.85252","68.26582","68.68229","68.74888","69.38255","70.06731","70.53169","70.35915","71.11559","71.4179","71.73928","68.78399","72.80196","73.66216","73.92145","75.17409","75.69556","77.09732","78.52292","80.2382","81.68683","83.37659","83.81368","83.86543","83.54123","83.90802","84.73861","84.49216","84.25983","84.32636","84.25912","84.11776","83.82918","83.74848"
"DJI","Djibouti",".",".",".",".",".",".",".","38.88299","38.78013","38.76659","38.8288","37.93765","37.54895","36.80302","36.23571","36.20424","36.29089","35.9644","35.81358","35.77752","36.34346","36.11687","35.85788","35.87388","34.97055","35.16814","36.57118","37.78872","37.79289","38.23788","38.03628","37.29406","35.22548","35.33944","36.41026","35.00835","35.44881","36.00273","36.9764","38.02658","38.49787","38.52895","38.66808"
"DMA","Dominica","39.87686","39.87686","39.87686","39.8011","39.8011","39.63604","39.63604","39.56028","39.45827","38.89045","40.36414","40.35768","41.05486","41.02392","41.43951","41.52607","41.21707","41.48499","41.35688","41.28509","41.48818","41.62034","41.60258","41.64965","41.74415","41.92316","43.16767","43.42228","43.92623","43.85856","44.64148","44.90464","45.08941","45.27562","45.54958","45.89218","45.53242","45.61488","44.47654","44.10586","44.07129","44.09902","44.19865"
"DNK","Denmark","57.79879","58.08172","58.43591","58.64759","58.2893","58.21805","58.95556","59.98658","60.34677","60.5764","61.43126","71.14119","72.20571","72.68243","72.52584","73.51513","72.92504","72.64356","72.74032","73.11663","73.64259","75.0054","75.96001","77.9854","78.94912","80.11796","80.37341","81.85161","83.02932","83.42524","86.99354","87.96447","87.25747","87.92001","87.50048","88.45317","88.34476","88.00857","87.80073","87.30692","86.53292","86.78964","86.78706"
"DOM","Dominican Republic","31.6436","31.52518","31.48309","31.41786","30.96032","31.15639","30.77345","31.33357","31.26187","30.49185","30.70732","30.44379","29.99773","29.82473","29.67147","29.71295","29.36573","29.21587","29.31071","29.25105","29.22145","29.12232","29.45656","29.94493","30.31623","30.39538","42.43451","43.90493","45.84618","48.8206","51.00843","50.44218","50.15685","50.51565","50.5956","50.21418","51.48166","52.54885","52.53424","53.15657","66.51476","65.83785","66.69111"
"DZA","Algeria","20.67013","19.92408","19.84252","19.7377","19.91582","18.98133","19.08821","19.18476","19.05771","19.4101","18.98818","18.97626","19.37638","19.83359","19.61394","19.32087","19.28558","18.75338","19.06664","18.46693","18.68535","19.59108","19.45746","18.53217","17.91025","21.99787","21.86529","23.17208","24.13781","28.89516","30.20882","29.11788","31.14128","32.68834","34.81724","34.37648","34.36617","34.88511","33.21215","34.91655","35.08859","35.09679","35.20749"
"ECU","Ecuador","19.41111","19.4803","20.00435","20.59759","20.27697","20.40709","20.01522","19.8826","20.46802","19.84267","19.11987","20.23967","21.10029","21.00283","20.68779","20.84868","20.11288","19.5454","19.66265","19.84364","19.38726","19.54438","26.16866","26.34771","26.37494","27.04133","27.50026","37.8782","39.50129","42.86414","43.47132","44.64305","47.37555","47.36607","47.32744","46.9535","47.72932","47.3149","44.5537","46.32224","46.80109","46.86639","46.48056"
"EGY","Egypt, Arab Rep.","22.47505","22.03724","22.60929","21.93243","22.59897","22.84834","22.7079","23.27789","22.78038","21.80085","21.03256","21.78284","22.07815","22.40724","22.6313","21.64586","21.72602","21.13361","20.9614","20.98006","21.33921","21.44707","24.21818","22.32804","34.89983","35.6698","36.73912","37.25472","39.08921","39.86786","41.87652","42.68521","43.18372","42.37055","43.64994","45.2405","45.23535","45.46482","46.62375","46.31141","45.28104","42.33575","42.57768"
"ERI","Eritrea",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","13.18235","13.98769","15.4189","15.76847","16.25146","16.63846","18.48757","21.3113","21.59878","21.74982","22.46399","22.29885","21.899","21.85638","21.81533","22.99673","23.2283","23.68832","24.10165","24.33322"
"ESP","Spain","37.42912","37.53599","37.67643","37.53188","37.49419","37.37495","37.3115","37.23641","37.42234","37.67523","37.7821","59.77791","59.28693","59.27726","59.71032","60.27779","60.71104","61.47054","62.27195","62.86606","64.08139","65.79335","67.61516","68.87424","70.66046","71.7471","74.30939","75.6246","78.57996","79.86942","80.93909","81.76952","82.08677","82.89922","83.04163","83.46728","83.53759","83.61821","83.72465","82.39519","82.24094","82.58599","82.36286"
"EST","Estonia",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","47.81834","47.69809","49.54748","51.75002","63.27699","65.03094","65.05515","67.82204","68.39634","70.62717","70.0947","71.50056","71.2952","71.3318","71.50683","72.79257","72.90267","73.33325","73.23676","74.05521","73.90509","74.35638"
"ETH","Ethiopia","7.044551","6.975361","6.893797","6.824607","6.824607","6.673852","6.673852","6.673852","6.604662","6.604662","6.604662","6.673852","6.770028","6.947767","7.10577","7.25379","7.128352","7.454226","7.511043","7.72329","7.885255","7.542997","8.338495","7.679068","8.191744","8.298438","9.910935","10.50306","10.95494","11.49784","13.37331","14.43071","14.644","14.24687","16.74166","16.16792","17.1784","18.17264","17.38147","16.60047","17.62714","15.10456","16.37915"
"FIN","Finland","44.84759","45.02571","44.84759","44.66946","44.63384","44.88115","45.88077","45.9164","46.07478","46.04095","45.68857","46.793","47.35912","48.29018","57.23655","57.34671","57.95626","57.80346","57.83657","57.98837","58.41175","60.07853","59.99814","60.52448","62.45195","64.95017","79.23135","80.68982","82.01248","81.40157","82.64326","83.12789","84.01305","83.85187","83.66318","83.2247","83.29724","84.02145","84.15403","83.31333","83.63786","83.32691","82.45567"
